Match_no,Ballnumber,Inningno,Over,Outcome,Batter,Bowler,Comment,Score,runs
13,85,2,14,1,venkatesh iyer,Josh Little,"josh little to venkatesh iyer, 1 run,",1,1
13,86,2,14,1,rinku singh,Josh Little,"josh little to rinku singh, 1 run,",1,1
13,87,2,14,1wd,venkatesh iyer,Josh Little,"josh little to venkatesh iyer, 1 wide,",1,0
13,88,2,14,4,venkatesh iyer,Josh Little,"josh little to venkatesh iyer, four,",4,4
13,89,2,14,0,venkatesh iyer,Josh Little,"josh little to venkatesh iyer, no run,",0,0
13,90,2,14,4,venkatesh iyer,Josh Little,"josh little to venkatesh iyer, four,",4,4
13,91,2,14,6,venkatesh iyer,Josh Little,"josh little to venkatesh iyer, six,",6,6
13,92,2,15,0,rinku singh,Alzarri Joseph,"alzarri joseph to rinku singh, no run,",0,0
13,93,2,15,1,rinku singh,Alzarri Joseph,"alzarri joseph to rinku singh, 1 run,",1,1
13,94,2,15,0,venkatesh iyer,Alzarri Joseph,"alzarri joseph to venkatesh iyer, no run,",0,0
13,95,2,15,4,venkatesh iyer,Alzarri Joseph,"alzarri joseph to venkatesh iyer, four,",4,4
13,96,2,15,w,venkatesh iyer,Alzarri Joseph,"alzarri joseph to venkatesh iyer, no run,                           wicket - c shubman gill b alzarri joseph batsmen out 83(40)",0,0
13,97,2,15,1,andre russell,Alzarri Joseph,"alzarri joseph to andre russell, 1 run,",1,1
13,98,2,16,w,andre russell,Rashid Khan,"rashid khan to andre russell, no run,                           wicket - c (sub ks bharat) b rashid khan batsmen out 1(2)",0,0
13,99,2,16,w,sunil narine,Rashid Khan,"rashid khan to sunil narine, no run,                           wicket - c (sub j yadav) b rashid khan batsmen out 0(1)",0,0
13,100,2,16,w,shardul thakur,Rashid Khan,"rashid khan to shardul thakur, no run,                           wicket - lbw b rashid khan batsmen out 0(1)",0,0
13,101,2,16,0,umesh yadav,Rashid Khan,"rashid khan to umesh yadav, no run,",0,0
13,102,2,16,1,umesh yadav,Rashid Khan,"rashid khan to umesh yadav, 1 run,",1,1
13,103,2,16,1,rinku singh,Rashid Khan,"rashid khan to rinku singh, 1 run,",1,1
